mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.3,65,13,2.39,0.232907875,0.999780497,0.349923174,6.998463478
10,22.95,0.3,66,13.2,2.39,0.232907875,0.99980639,0.349932237,6.998644733
10,22.95,0.3,67,13.4,2.39,0.232907875,0.99982923,0.34994023,6.998804607
10,22.95,0.3,68,13.6,2.39,0.232907875,0.999849374,0.349947281,6.998945621
10,22.95,0.3,69,13.8,2.39,0.232907875,0.999867143,0.3499535,6.99907
10,22.95,0.3,70,14,2.39,0.232907875,0.999882815,0.349958985,6.999179707
10,22.95,0.3,71,14.2,2.39,0.232907875,0.999896639,0.349963824,6.999276473
10,22.95,0.3,72,14.4,2.39,0.232907875,0.999908832,0.349968091,6.999361823
10,22.95,0.3,73,14.6,2.39,0.232907875,0.999919586,0.349971855,6.999437105
10,22.95,0.3,74,14.8,2.39,0.232907875,0.999929072,0.349975175,6.999503507
10,22.95,0.3,75,15,2.39,0.232907875,0.999937439,0.349978104,6.999562076
10,22.95,0.4,-12,-2.4,2.11,0.242898,0.022035,0.004187,0.083734
10,22.95,0.4,-11,-2.2,2.11,0.242898,0.026914,0.005114,0.102273
10,22.95,0.4,-10,-2,2.11,0.242898,0.032873,0.006246,0.124916
10,22.95,0.4,-9,-1.8,2.11,0.242898,0.040151,0.007629,0.152573
10,22.95,0.4,-8,-1.6,2.11,0.242898,0.04904,0.009318,0.186353
10,22.95,0.4,-7,-1.4,2.11,0.242898,0.059898,0.011381,0.227612
10,22.95,0.4,-6,-1.2,2.11,0.242898,0.07316,0.0139,0.278006
10,22.95,0.4,-5,-1,2.11,0.242898,0.089357,0.016978,0.339558
10,22.95,0.4,-4,-0.8,2.11,0.242898,0.109141,0.020737,0.414737
10,22.95,0.4,-3,-0.6,2.11,0.242898,0.133305,0.025328,0.506561
10,22.95,0.4,-2,-0.4,2.11,0.242898,0.16282,0.030936,0.618715
10,22.95,0.4,-1,-0.2,2.11,0.242898,0.198868,0.037785,0.7557
10,22.95,0.4,0,0,2.11,0.242898,0.242898,0.046151,0.923014
10,22.95,0.4,1,0.2,2.11,0.242898,0.343241,0.065216,1.304315
10,22.95,0.4,2,0.4,2.11,0.242898,0.430284,0.081754,1.635081
10,22.95,0.4,3,0.6,2.11,0.242898,0.505792,0.0961,1.922008
10,22.95,0.4,4,0.8,2.11,0.242898,0.571292,0.108545,2.170908
10,22.95,0.4,5,1,2.11,0.242898,0.62811,0.119341,2.386819
10,22.95,0.4,6,1.2,2.11,0.242898,0.677399,0.128706,2.574115
10,22.95,0.4,7,1.4,2.11,0.242898,0.720155,0.136829,2.736588
10,22.95,0.4,8,1.6,2.11,0.242898,0.757244,0.143876,2.877527
10,22.95,0.4,9,1.8,2.11,0.242898,0.789418,0.149989,2.999787
10,22.95,0.4,10,2,2.11,0.242898,0.817327,0.155292,3.105843
10,22.95,0.4,11,2.2,2.11,0.242898,0.841538,0.159892,3.197843
10,22.95,0.4,12,2.4,2.11,0.242898,0.86254,0.163883,3.27765
10,22.95,0.4,13,2.6,2.11,0.242898,0.880758,0.167344,3.34688
10,22.95,0.4,14,2.8,2.11,0.242898,0.896562,0.170347,3.406934
10,22.95,0.4,15,3,2.11,0.242898,0.910271,0.172951,3.459029
10,22.95,0.4,16,3.2,2.11,0.242898,0.922163,0.175211,3.50422
